ID_Ponto,Nome,Status,Data,Hora
6890bcc16899c6001f414dc8,Posto Quality,Available,2026-03-25,20:02:45
69173cb53bad44001fc83d83,EletroBidu - CCO WEG DC,Finishing,2026-03-25,20:02:45
670eb3214acdfd001f675a13,EletroBidu - Posto Equipe Shopping,Available,2026-03-25,20:48:58
66a25ea61060d800227bc0e3,EletroBidu - CCO MOBY,Charging,2026-03-25,20:48:58
67408530fd34cf001fbd6c63,EletroBidu - CCO Zeta Uno,Charging,2026-03-25,20:48:58
6890bcc16899c6001f414dc8,Posto Quality,Available,2026-03-25,20:48:58
69173cb53bad44001fc83d83,EletroBidu - CCO WEG DC,Charging,2026-03-25,20:48:58
670eb3214acdfd001f675a13,EletroBidu - Posto Equipe Shopping,Available,2026-03-25,22:10:48
66a25ea61060d800227bc0e3,EletroBidu - CCO MOBY,Available,2026-03-25,22:10:48
67408530fd34cf001fbd6c63,EletroBidu - CCO Zeta Uno,Charging,2026-03-25,22:10:48
6890bcc16899c6001f414dc8,Posto Quality,Available,2026-03-25,22:10:48
69173cb53bad44001fc83d83,EletroBidu - CCO WEG DC,Available,2026-03-25,22:10:48
670eb3214acdfd001f675a13,EletroBidu - Posto Equipe Shopping,Available,2026-03-26,01:05:43
66a25ea61060d800227bc0e3,EletroBidu - CCO MOBY,Available,2026-03-26,01:05:43
67408530fd34cf001fbd6c63,EletroBidu - CCO Zeta Uno,Available,2026-03-26,01:05:43
6890bcc16899c6001f414dc8,Posto Quality,Available,2026-03-26,01:05:43
69173cb53bad44001fc83d83,EletroBidu - CCO WEG DC,Available,2026-03-26,01:05:43
670eb3214acdfd001f675a13,EletroBidu - Posto Equipe Shopping,Available,2026-03-26,02:49:24
66a25ea61060d800227bc0e3,EletroBidu - CCO MOBY,Available,2026-03-26,02:49:24
67408530fd34cf001fbd6c63,EletroBidu - CCO Zeta Uno,Available,2026-03-26,02:49:24
6890bcc16899c6001f414dc8,Posto Quality,Available,2026-03-26,02:49:24
